(-0.53, 1.37, 14.68)
(-0.53, 1.39, 14.72)
(-0.53, 1.38, 14.76)
(-0.54, 1.37, 14.78)
(-0.53, 1.36, 14.79)
(-0.50, 1.34, 14.79)
(-0.50, 1.33, 14.78)
(-0.50, 1.33, 14.78)
(-0.49, 1.33, 14.77)
(-0.49, 1.33, 14.75)
(-0.50, 1.34, 14.73)
(-0.51, 1.35, 14.72)
(-0.52, 1.36, 14.70)
(-0.51, 1.37, 14.69)
(-0.51, 1.38, 14.67)
(-0.51, 1.38, 14.65)
(-0.52, 1.37, 14.64)
(-0.53, 1.38, 14.63)
(-0.52, 1.39, 14.64)
(-0.51, 1.40, 14.67)
(-0.49, 1.41, 14.67)
(-0.46, 1.41, 14.67)
(-0.38, 1.41, 14.64)
(-0.33, 1.41, 14.63)
(-0.29, 1.40, 14.62)
(-0.27, 1.39, 14.60)
(-0.25, 1.39, 14.59)
(-0.22, 1.38, 14.58)
(-0.19, 1.37, 14.57)
(-0.17, 1.35, 14.57)
(-0.15, 1.31, 14.58)
(-0.14, 1.29, 14.59)
(-0.13, 1.29, 14.59)
(-0.14, 1.29, 14.60)
(-0.15, 1.31, 14.63)
(-0.19, 1.34, 14.67)
(-0.27, 1.37, 14.74)
(-0.34, 1.37, 14.79)
(-0.42, 1.36, 14.86)
(-0.49, 1.37, 14.95)
(-0.57, 1.40, 15.06)
(-0.64, 1.43, 15.14)
(-0.68, 1.45, 15.19)
(-0.70, 1.45, 15.22)
(-0.69, 1.46, 15.24)
(-0.67, 1.46, 15.26)
(-0.63, 1.46, 15.29)
(-0.59, 1.46, 15.33)
(-0.54, 1.48, 15.37)
(-0.51, 1.48, 15.41)
(-0.49, 1.48, 15.45)
(-0.48, 1.48, 15.52)
(-0.49, 1.48, 15.59)
(-0.53, 1.47, 15.69)
(-0.58, 1.46, 15.80)
(-0.62, 1.48, 15.89)
(-0.65, 1.50, 15.99)
(-0.66, 1.51, 16.10)
(-0.65, 1.50, 16.21)
(-0.64, 1.51, 16.33)
(-0.63, 1.55, 16.45)
(-0.62, 1.57, 16.55)
(-0.61, 1.59, 16.62)
(-0.61, 1.59, 16.66)
(-0.61, 1.58, 16.68)
(-0.60, 1.58, 16.68)
(-0.60, 1.58, 16.67)
(-0.60, 1.56, 16.64)
(-0.60, 1.53, 16.61)
(-0.61, 1.54, 16.59)
(-0.62, 1.53, 16.57)
(-0.64, 1.52, 16.52)
(-0.67, 1.49, 16.45)
(-0.69, 1.46, 16.30)
(-0.69, 1.44, 16.16)
(-0.69, 1.42, 16.03)
(-0.70, 1.41, 15.92)
(-0.74, 1.39, 15.81)
(-0.79, 1.38, 15.73)
(-0.85, 1.35, 15.64)
(-0.92, 1.35, 15.56)
(-0.97, 1.35, 15.49)
(-1.00, 1.35, 15.43)
(-1.01, 1.34, 15.40)
(-1.01, 1.33, 15.37)
(-1.00, 1.33, 15.34)
(-0.98, 1.34, 15.32)
(-0.96, 1.34, 15.29)
(-0.95, 1.34, 15.26)
(-0.94, 1.34, 15.24)
(-0.93, 1.33, 15.23)
(-0.93, 1.34, 15.22)
(-0.93, 1.34, 15.22)
(-0.93, 1.33, 15.23)
(-0.93, 1.33, 15.23)
(-0.93, 1.33, 15.23)
(-0.93, 1.33, 15.23)
(-0.92, 1.33, 15.23)
(-0.92, 1.32, 15.22)
(-0.91, 1.32, 15.22)
(-0.90, 1.32, 15.22)
(-0.89, 1.32, 15.22)
(-0.89, 1.32, 15.21)
(-0.88, 1.32, 15.21)
(-0.87, 1.31, 15.21)
(-0.87, 1.31, 15.20)
(-0.87, 1.32, 15.20)
(-0.87, 1.32, 15.20)
